Ripper Arm Roll [deg],Ripper Arm Pitch [deg],Ripper Arm Yaw [deg],Ripper Roll [deg],Ripper Pitch [deg],Ripper Yaw [deg],ESP32 Roll [deg],ESP32 Pitch [deg],ESP32 Yaw [deg],Time [H:M:S:MS]
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:46:922.618
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:14.605
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:131.519
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:219.627
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:307.419
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:415.943
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:527.378
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:615.425
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:715.182
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:817.315
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:47:913.8
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:15.063
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:125.887
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:225.842
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:342.703
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:463.808
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:562.698
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:673.303
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:773.524
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:866.466
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:48:963.332
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:66.648
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:168.628
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:279.391
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:362.18
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:470.73
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:563.547
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:674.683
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:764.568
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:49:873.981
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:49:964.175
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:63.088
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:208.171
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:297.834
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:414.935
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:516.818
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:625.206
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:715.855
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:50:817.947
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:50:908.043
4.37,46.81,0,-7.25,106.69,0,2.75,-1.94,0,05:19:51:16.327
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:128.542
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:232.852
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:409.03
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:526.716
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:617.899
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:726.794
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:810.184
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:51:918.407
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:15.336
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:112.949
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:247.381
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:454.399
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:566.021
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:666.007
4.37,46.81,0,-7.25,106.69,0,2.69,-1.94,0,05:19:52:771.236
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:52:882.84
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:52:962.677
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:73.406
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:170.402
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:313.124
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:462.936
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:599.324
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:750.385
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:815.931
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:53:938.74
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:16.421
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:122.914
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:220.443
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:345.738
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:482.649
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:582.966
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:662.282
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:762.151
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:872.993
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:54:968.819
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:62.194
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:163.472
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:271.009
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:385.401
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:478.118
4.37,46.81,0,-7.25,106.69,0,2.62,-1.94,0,05:19:55:572.283
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:55:667.255
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:55:778.636
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:55:867.336
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:55:965.549
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:72.653
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:184.966
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:267.286
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:389.296
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:537.172
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:647.962
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:762.469
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:871.64
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:56:972.799
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:66.452
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:162.486
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:286.681
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:365.047
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:493.318
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:652.859
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:764.858
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:888.917
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:57:963.325
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:70.655
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:161.111
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:284.65
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:410.668
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:516.632
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:628.784
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:718.386
4.37,46.81,0,-7.25,106.69,0,2.62,-1.87,0,05:19:58:819.159
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:58:917.286
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:24.828
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:124.796
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:227.818
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:352.969
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:446.126
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:516.933
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:616.377
4.37,46.81,0,-7.25,106.69,0,2.69,-1.87,0,05:19:59:730.325
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:19:59:817.371
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:19:59:912.042
4.37,46.81,0,-7.25,106.69,0,2.75,-1.87,0,05:20:00:19.704
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:113.583
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:238.224
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:378.121
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:473.364
4.37,46.81,0,-7.25,106.69,0,2.75,-1.81,0,05:20:00:583.516
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:667.949
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:760.575
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:866.046
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:00:968.848
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:01:109.022
4.37,46.81,0,-7.25,106.69,0,2.81,-1.81,0,05:20:01:162.334
